,step,reward,critic_loss,q1,q2,actor_loss,bc_loss,time
24,120000,31.29088181926516,3.8884192,231.76523,231.63051,-2.4530113,0.046989046,3.5128183801968893
25,125000,32.47633461051503,2.0987837,226.03943,226.15126,-2.4436479,0.056352384,3.6287065068880717
26,130000,31.31852131365123,1.7459786,228.79947,228.60912,-2.4481144,0.05188539,3.7820082108179727
27,135000,30.436691570604534,2.7978067,227.30215,227.26581,-2.444371,0.055629335,3.9324676195780435
28,140000,52.38440439763979,2.3942719,230.93568,230.73923,-2.446806,0.053193998,4.072783029079437
29,145000,29.838850125417572,1.728576,226.7583,226.6353,-2.4434106,0.056589406,4.228341503938039
30,150000,29.98204036670913,2.064647,220.66087,220.61104,-2.4430563,0.056943595,4.379220883051555
31,155000,34.27101006052943,1.6208776,230.35602,230.48564,-2.4505446,0.049455684,4.495480974515279
32,160000,30.114344661048797,2.898069,229.12326,229.26312,-2.4491549,0.050845206,4.647588177522024
33,165000,73.22176686984487,2.0525594,233.1183,232.99306,-2.4432395,0.05676034,4.880281615257263
34,170000,69.69967448426205,2.8370552,222.30098,222.32732,-2.450856,0.049144268,5.12940540711085
35,175000,31.242191434111096,3.4774795,233.55794,233.32858,-2.4389055,0.061094463,5.278976766268412
36,180000,60.425493451142955,2.0368946,232.03069,232.44113,-2.4456642,0.054335844,5.4896728515625
37,185000,53.1554438090005,2.739336,231.68393,231.75574,-2.4441001,0.05589989,5.693745255470276
38,190000,67.9808909181027,3.4515579,228.60727,228.7114,-2.4475381,0.052461825,5.916865154107412
39,195000,30.706366993387906,11.235348,218.34637,218.27274,-2.444497,0.05550281,6.0725092927614845
40,200000,30.803597207363353,1.9987023,223.88759,223.89767,-2.4434323,0.05656749,6.187399629751841
41,205000,39.71078070380871,3.6927834,229.89243,229.99345,-2.4422894,0.05771066,6.362853852907817
42,210000,75.1033403168377,2.3847346,228.11423,228.13022,-2.4522855,0.047714524,6.578175973892212
43,215000,31.88227400474523,2.23173,232.01413,232.22633,-2.451746,0.048254043,6.7343629995981855
44,220000,30.856541346838423,3.2548137,232.37451,232.60515,-2.450688,0.049312215,6.8862507224082945
45,225000,76.42404944063422,4.5920467,228.78781,228.86383,-2.4508142,0.049185745,7.068070165316263
46,230000,31.469443098884796,2.1800365,226.8245,226.88039,-2.4541574,0.045842998,7.222552748521169
47,235000,31.78270431853212,2.274223,230.9281,230.62386,-2.4462297,0.05377027,7.378713587919871
48,240000,80.22334516068949,1.8052876,235.61151,235.50673,-2.4489784,0.0510218,7.629921094576518
49,245000,30.698082740561595,2.0834734,234.31491,234.3255,-2.4493167,0.050683327,7.783595323562622
50,250000,99.04611365134033,2.4386444,235.1619,235.17725,-2.450841,0.04915894,8.073179737726848
51,255000,32.38674343751967,3.1095214,231.35376,231.57893,-2.440536,0.059463836,8.221259367465972
52,260000,82.22920107528748,2.8029926,226.14394,226.40594,-2.4433146,0.05668553,8.489589508374532
53,265000,74.0256869942935,4.7332153,225.02312,224.82544,-2.443085,0.056914836,8.686573096116383
54,270000,41.58706217930753,5.5544233,225.99115,226.38657,-2.4477425,0.052257806,8.866210544109345
55,275000,37.79866824462126,2.2186303,229.92929,230.27939,-2.4449382,0.055034615,9.036043790976207
56,280000,30.008605726086007,2.9667616,229.97308,229.91356,-2.4414625,0.05853784,9.154928358395894
57,285000,30.63270106076431,7.067507,233.25732,233.21597,-2.4553921,0.04460792,9.307922220230102
58,290000,92.17626944731997,5.074239,231.5243,231.26164,-2.4447827,0.055217348,9.540575583775839
59,295000,93.60255572489822,2.792663,226.95901,226.94467,-2.442285,0.057714887,9.847673507531484
60,300000,45.04071329168373,4.5044317,232.97299,232.98203,-2.4498541,0.050145935,9.985600411891937
61,305000,97.91049168756012,2.167657,230.41943,230.20235,-2.444895,0.055104982,10.295695583025614
62,310000,29.95775073160568,2.1495214,229.50699,229.41792,-2.4441414,0.055858932,10.438890461126963
63,315000,93.25736281980997,3.3978007,225.9201,225.70811,-2.4463,0.053700324,10.724765952428182
